"ID","Name","Parent","Component","Path","Line","Column","EndLine","EndColumn","CA","CCO","CE","CLLOC","CV","Clone Metric Rules"
"C127","6~CloneInstance","C106","L103","E:\workspace_niki\seq_2_seq\dataset_readers\dataset_reader_factory.py","10","1","25","139","1","3","0","16","1","0"
"C118","1~CloneInstance","C104","L103","E:\workspace_niki\seq_2_seq\text_to_speech\synthesize_file.py","23","5","37","59","1","1","1","15","1","0"
"C139","12~CloneInstance","C110","L103","E:\workspace_niki\seq_2_seq\text_to_speech\synthesize_file.py","14","1","37","59","1","1","0","24","1","0"
"C119","2~CloneInstance","C104","L103","E:\workspace_niki\seq_2_seq\text_to_speech\synthesize_file.py","55","5","69","59","1","1","1","15","1","0"
"C140","13~CloneInstance","C110","L103","E:\workspace_niki\seq_2_seq\text_to_speech\synthesize_file.py","42","1","69","59","1","1","0","28","1","0"
"C120","3~CloneInstance","C104","L103","E:\workspace_niki\seq_2_seq\text_to_speech\synthesize_text.py","21","5","35","59","1","1","1","15","1","0"
"C137","9~CloneInstance","C109","L103","E:\workspace_niki\seq_2_seq\text_to_speech\synthesize_text.py","14","1","35","59","1","1","0","22","1","0"
"C121","4~CloneInstance","C104","L103","E:\workspace_niki\seq_2_seq\text_to_speech\synthesize_text.py","53","5","67","59","1","1","1","15","1","0"
"C138","10~CloneInstance","C109","L103","E:\workspace_niki\seq_2_seq\text_to_speech\synthesize_text.py","40","1","67","59","1","1","0","28","1","0"
"C128","7~CloneInstance","C106","L103","E:\workspace_niki\seq_2_seq\vocabulary_importers\vocabulary_importer_factory.py","10","1","27","150","1","3","0","18","1","0"
"C146","16~CloneInstance","C113","L103","E:\workspace_niki\seq_2_seq\vocabulary_importers\checkpoint_vocabulary_importer.py","14","5","28","64","1","1","2","15","1","0"
"C145","15~CloneInstance","C113","L103","E:\workspace_niki\seq_2_seq\vocabulary_importers\flatfile_vocabulary_importer.py","14","5","30","34","1","1","2","17","1","0"
